Beta,Hist,Bins
7.61,43.02690821376494,0.6014532288355035
7.61,41.43331902066254,0.6014657791214155
7.61,20.71665951033127,0.6014783294073278
7.61,25.497427089864043,0.6014908796932399
7.61,15.935891931024054,0.601503429979152
7.61,15.935891931024054,0.6015159802650643
7.61,3.18717838620481,0.6015285305509763
7.61,4.780767579349508,0.6015410808368886
7.61,3.18717838620481,0.6015536311228007
7.61,4.780767579307216,0.6015661814087128
7.61,1.593589193102405,0.6015787316946251
7.61,1.593589193102405,0.6015912819805371
7.61,1.5935891931165027,0.6016038322664494
7.61,3.18717838620481,0.6016163825523615
7.61,1.593589193102405,0.6016289328382736
7.615,1.3673644438012384,0.600718084110878
7.615,0.0,0.6007327107892962
7.615,0.0,0.6007473374677146
7.615,0.0,0.6007619641461328
7.615,0.0,0.600776590824551
7.615,0.0,0.6007912175029694
7.615,0.0,0.6008058441813876
7.615,0.6836822218954298,0.6008204708598058
7.615,0.0,0.6008350975382242
7.615,0.6836822219006192,0.6008497242166424
7.615,0.0,0.6008643508950606
7.615,0.6836822219006192,0.600878977573479
7.615,2.734728887602477,0.6008936042518972
7.615,2.7347288875817197,0.6009082309303154
7.615,2.0510466657018576,0.6009228576087338
7.615,6.153139997105573,0.600937484287152
7.615,4.785775553268008,0.6009521109655702
7.615,10.25523332850929,0.6009667376439886
7.615,12.306279994211144,0.6009813643224068
7.615,13.673644437908596,0.600995991000825
7.615,21.1941488789192,0.6010106176792434
7.615,28.71465331982601,0.6010252443576616
7.615,45.12302664509836,0.6010398710360798
7.615,60.16403552725449,0.6010544977144981
7.615,71.1029510776644,0.6010691243929164
7.615,82.725548849347,0.6010837510713346
7.615,97.08287550988793,0.6010983777497529
7.615,148.35904215243437,0.6011130044281712
7.615,177.0736954709163,0.6011276311065894
7.615,209.2067599015895,0.6011422577850077
7.615,265.26870209744027,0.601156884463426
7.615,317.22855095947943,0.6011715111418442
7.615,393.11727759285606,0.6011861378202625
7.615,469.6896864457254,0.6012007644986808
7.615,538.7415908535987,0.601215391177099
7.615,631.7223730361721,0.6012300178555173
7.615,772.5609107476997,0.6012446445339356
7.615,899.7258040143856,0.6012592712123538
7.615,1065.1769017211648,0.6012738978907721
7.615,1206.0154394326923,0.6012885245691904
7.615,1316.0882771487024,0.6013031512476086
7.615,1448.0389459855116,0.6013177779260269
7.615,1561.5301948210144,0.6013324046044451
7.615,1774.8390480405358,0.6013470312828634
7.615,1808.3394769271376,0.6013616579612817
7.615,2068.138721249373,0.6013762846396999
7.615,2224.7019500477286,0.6013909113181182
7.615,2255.467650050143,0.6014055379965365
7.615,2277.3454811509628,0.6014201646749547
7.615,2519.368987684659,0.601434791353373
7.615,2466.7254566174342,0.6014494180317913
7.615,2552.1857343550114,0.6014640447102095
7.615,2546.032594357906,0.6014786713886278
7.615,2509.797436578123,0.601493298067046
7.615,2493.3890632715584,0.6015079247454643
7.615,2546.7162765798066,0.6015225514238826
7.615,2373.7446744209324,0.6015371781023008
7.615,2336.142152234416,0.6015518047807191
7.615,2179.5789234191743,0.6015664314591374
7.615,2184.3646989558983,0.6015810581375556
7.615,2057.1998056989632,0.6015956848159739
7.615,1748.8591236217842,0.6016103114943921
7.615,1685.2766769722346,0.6016249381728104
7.615,1564.9486059305173,0.6016395648512287
7.615,1404.283283783872,0.6016541915296469
7.615,1260.7100171751729,0.6016688182080652
7.615,1109.616246144705,0.6016834448864835
7.615,998.8597261968048,0.6016980715649017
7.615,911.348401786608,0.60171269824332
7.615,765.040406306793,0.6017273249217383
7.615,613.2629530448554,0.6017419516001565
7.615,579.7625241673245,0.6017565782785748
7.615,447.8118553449056,0.6017712049569931
7.615,386.96413759575046,0.6017858316354113
7.615,363.0352598264733,0.6018004583138296
7.615,270.7381598726452,0.6018150849922479
7.615,220.14567545199935,0.6018297116706661
7.615,197.5841621277792,0.6018443383490844
7.615,159.9816399247449,0.6018589650275027
7.615,136.73644438012386,0.6018735917059209
7.615,94.34814662156931,0.6018882183843391
7.615,79.99081996237246,0.6019028450627575
7.615,71.1029510776644,0.6019174717411757
7.615,49.22511997647094,0.6019320984195939
7.615,35.5514755388322,0.6019467250980123
7.615,40.33725109213653,0.6019613517764305
7.615,31.44938220718977,0.6019759784548487
7.615,21.87783110081981,0.6019906051332671
7.615,14.357326659913005,0.6020052318116853
7.615,12.989962216013168,0.6020198584901035
7.615,10.25523332850929,0.6020344851685219
7.615,8.20418666280743,0.6020491118469401
7.615,2.0510466656862896,0.6020637385253583
7.615,4.102093331403715,0.6020783652037767
7.615,2.734728887602477,0.6020929918821949
7.615,1.3673644437908596,0.6021076185606131
7.615,2.0510466657018576,0.6021222452390315
7.615,1.3673644438012384,0.6021368719174497
7.615,0.0,0.6021514985958679
7.615,2.0510466657018576,0.6021661252742863
7.625,8.143790168389613,0.6021412312584559
7.625,0.0,0.6021535105532231
7.625,8.143790168389613,0.6021657898479903
7.625,0.0,0.6021780691427575
7.625,0.0,0.6021903484375247
7.625,0.0,0.6022026277322919
7.625,16.287580336779225,0.6022149070270592
7.625,16.287580336779225,0.6022271863218264
7.625,16.28758033663196,0.6022394656165936
7.625,24.43137050516884,0.6022517449113609
7.625,73.29411151550651,0.6022640242061281
7.625,16.287580336779225,0.6022763035008953
7.625,40.71895084194807,0.6022885827956626
7.625,57.00653117872729,0.6023008620904298
7.625,48.86274101033768,0.602313141385197
7.625,81.43790168389613,0.6023254206799642
7.625,89.58169185228573,0.6023376999747314
7.625,114.0130623574546,0.6023499792694986
7.625,146.58822303101303,0.6023622585642658
7.625,130.3006426942338,0.602374537859033
7.625,187.3071738729611,0.6023868171538003
7.625,309.4640263988053,0.6023990964485675
7.625,260.6012853884676,0.6024113757433347
7.625,366.4705575775326,0.6024236550381019
7.625,390.90192808270143,0.6024359343328691
7.625,415.333298584115,0.6024482136276363
7.625,415.3332985878703,0.6024604929224037
7.625,537.4901511137144,0.6024727722171709
7.625,749.2286954918444,0.6024850515119381
